symbol	name	locus_group
ACO1	aconitase 1	protein-coding gene
ACO2	aconitase 2	protein-coding gene
ACOD1	aconitate decarboxylase 1	protein-coding gene
ACOT1	acyl-CoA thioesterase 1	protein-coding gene
ACOT2	acyl-CoA thioesterase 2	protein-coding gene
ACOT4	acyl-CoA thioesterase 4	protein-coding gene
ACOT6	acyl-CoA thioesterase 6	protein-coding gene
ACOT7	acyl-CoA thioesterase 7	protein-coding gene
ACOT8	acyl-CoA thioesterase 8	protein-coding gene
ACOT9	acyl-CoA thioesterase 9	protein-coding gene
ACOT11	acyl-CoA thioesterase 11	protein-coding gene
ACOT12	acyl-CoA thioesterase 12	protein-coding gene
ACOT13	acyl-CoA thioesterase 13	protein-coding gene
ACOX1	acyl-CoA oxidase 1	protein-coding gene
ACOX2	acyl-CoA oxidase 2	protein-coding gene
ACOX3	acyl-CoA oxidase 3, pristanoyl	protein-coding gene
ACOXL	acyl-CoA oxidase like	protein-coding gene
ACOXL-AS1	ACOXL antisense RNA 1	non-coding RNA
ACP1	acid phosphatase 1	protein-coding gene
ACP2	acid phosphatase 2, lysosomal	protein-coding gene
ACP3	acid phosphatase 3	protein-coding gene
ACP4	acid phosphatase 4	protein-coding gene
ACP5	acid phosphatase 5, tartrate resistant	protein-coding gene
ACP6	acid phosphatase 6, lysophosphatidic	protein-coding gene
ACP7	acid phosphatase 7, tartrate resistant (putative)	protein-coding gene
ACR	acrosin	protein-coding gene
ACRBP	acrosin binding protein	protein-coding gene
ACRP1	ACR pseudogene 1	pseudogene
ACRV1	acrosomal vesicle protein 1	protein-coding gene
ACSBG1	acyl-CoA synthetase bubblegum family member 1	protein-coding gene
ACSBG2	acyl-CoA synthetase bubblegum family member 2	protein-coding gene
ACSF2	acyl-CoA synthetase family member 2	protein-coding gene
ACSF3	acyl-CoA synthetase family member 3	protein-coding gene
ACSL1	acyl-CoA synthetase long chain family member 1	protein-coding gene
ACSL3	acyl-CoA synthetase long chain family member 3	protein-coding gene
ACSL3-AS1	ACSL3 antisense RNA 1	non-coding RNA
ACSL4	acyl-CoA synthetase long chain family member 4	protein-coding gene
ACSL5	acyl-CoA synthetase long chain family member 5	protein-coding gene
ACSL6	acyl-CoA synthetase long chain family member 6	protein-coding gene
ACSL6-AS1	ACSL6 antisense RNA 1	non-coding RNA
ACSM1	acyl-CoA synthetase medium chain family member 1	protein-coding gene
ACSM2A	acyl-CoA synthetase medium chain family member 2A	protein-coding gene
ACSM2B	acyl-CoA synthetase medium chain family member 2B	protein-coding gene
ACSM3	acyl-CoA synthetase medium chain family member 3	protein-coding gene
ACSM4	acyl-CoA synthetase medium chain family member 4	protein-coding gene
ACSM5	acyl-CoA synthetase medium chain family member 5	protein-coding gene
ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	pseudogene
ACSM6	acyl-CoA synthetase medium chain family member 6	protein-coding gene
ACSS1	acyl-CoA synthetase short chain family member 1	protein-coding gene
ACSS2	acyl-CoA synthetase short chain family member 2	protein-coding gene
ACSS3	acyl-CoA synthetase short chain family member 3	protein-coding gene
ACTA1	actin alpha 1, skeletal muscle	protein-coding gene
ACTA2	actin alpha 2, smooth muscle	protein-coding gene
ACTA2-AS1	ACTA2 antisense RNA 1	non-coding RNA
ACTB	actin beta	protein-coding gene
ACTBL2	actin beta like 2	protein-coding gene
ACTBP1	ACTB pseudogene 1	pseudogene
ACTBP2	ACTB pseudogene 2	pseudogene
ACTBP3	ACTB pseudogene 3	pseudogene
ACTBP4	ACTB pseudogene 4	pseudogene
ACTBP5	actin, beta pseudogene 5	pseudogene
ACTBP6	ACTB pseudogene 6	pseudogene
ACTBP7	ACTB pseudogene 7	pseudogene
ACTBP8	ACTB pseudogene 8	pseudogene
ACTBP9	ACTB pseudogene 9	pseudogene
ACTBP10	ACTB pseudogene 10	pseudogene
ACTBP11	ACTB pseudogene 11	pseudogene
ACTBP12	ACTB pseudogene 12	pseudogene
ACTBP13	ACTB pseudogene 13	pseudogene
ACTBP14	ACTB pseudogene 14	pseudogene
ACTC1	actin alpha cardiac muscle 1	protein-coding gene
ACTE1P	actin epsilon 1, pseudogene	pseudogene
ACTG1	actin gamma 1	protein-coding gene
ACTG1P1	actin gamma 1 pseudogene 1	pseudogene
ACTG1P2	actin gamma 1 pseudogene 2	pseudogene
ACTG1P3	actin gamma 1 pseudogene 3	pseudogene
ACTG1P4	actin gamma 1 pseudogene 4	pseudogene
ACTG1P6	actin gamma 1 pseudogene 6	pseudogene
ACTG1P7	actin gamma 1 pseudogene 7	pseudogene
ACTG1P8	actin gamma 1 pseudogene 8	pseudogene
ACTG1P9	actin gamma 1 pseudogene 9	pseudogene
ACTG1P10	actin gamma 1 pseudogene 10	pseudogene
ACTG1P11	actin gamma 1 pseudogene 11	pseudogene
ACTG1P12	actin gamma 1 pseudogene 12	pseudogene
ACTG1P13	actin gamma 1 pseudogene 13	pseudogene
ACTG1P14	actin gamma 1 pseudogene 14	pseudogene
ACTG1P15	actin gamma 1 pseudogene 15	pseudogene
ACTG1P16	actin gamma 1 pseudogene 16	pseudogene
ACTG1P17	actin gamma 1 pseudogene 17	pseudogene
ACTG1P18	actin gamma 1 pseudogene 18	pseudogene
ACTG1P19	actin gamma 1 pseudogene 19	pseudogene
ACTG1P20	actin gamma 1 pseudogene 20	pseudogene
ACTG1P21	actin gamma 1 pseudogene 21	pseudogene
ACTG1P22	actin gamma 1 pseudogene 22	pseudogene
ACTG1P23	actin gamma 1 pseudogene 23	pseudogene
ACTG1P24	actin gamma 1 pseudogene 24	pseudogene
ACTG2	actin gamma 2, smooth muscle	protein-coding gene
ACTL4	actin-like 4	other
ACTL5	actin-like 5	other
ACTL6A	actin like 6A	protein-coding gene
ACTL6B	actin like 6B	protein-coding gene
ACTL7A	actin like 7A	protein-coding gene
ACTL7B	actin like 7B	protein-coding gene
ACTL8	actin like 8	protein-coding gene
ACTL9	actin like 9	protein-coding gene
ACTL10	actin like 10	protein-coding gene
ACTN1	actinin alpha 1	protein-coding gene
ACTN1-AS1	ACTN1 antisense RNA 1	non-coding RNA
ACTN2	actinin alpha 2	protein-coding gene
ACTN3	actinin alpha 3 (gene/pseudogene)	protein-coding gene
ACTN4	actinin alpha 4	protein-coding gene
ACTN4P1	actinin alpha 4 pseudogene 1	pseudogene
ACTN4P2	actinin alpha 4 pseudogene 2	pseudogene
ACTP1	actin family pseudogene 1	pseudogene
ACTR1A	actin related protein 1A	protein-coding gene
ACTR1AP1	ACTR1A pseudogene 1	pseudogene
ACTR1B	actin related protein 1B	protein-coding gene
ACTR2	actin related protein 2	protein-coding gene
ACTR3	actin related protein 3	protein-coding gene
ACTR3-AS1	ACTR3 antisense RNA 1	non-coding RNA
ACTR3B	actin related protein 3B	protein-coding gene
ACTR3BP1	ACTR3B pseudogene 1	pseudogene
ACTR3BP2	ACTR3B pseudogene 2	pseudogene
ACTR3BP3	ACTR3B pseudogene 3	pseudogene
ACTR3BP4	ACTR3B pseudogene 4	pseudogene
ACTR3BP5	ACTR3B pseudogene 5	pseudogene
ACTR3BP6	ACTR3B pseudogene 6	pseudogene
ACTR3C	actin related protein 3C	protein-coding gene
ACTR3P1	ACTR3 pseudogene 1	pseudogene
ACTR3P2	ACTR3 pseudogene 2	pseudogene
ACTR3P3	ACTR3 pseudogene 3	pseudogene
ACTR5	actin related protein 5	protein-coding gene
ACTR6	actin related protein 6	protein-coding gene
ACTR6P1	ACTR6 pseudogene 1	pseudogene
ACTR8	actin related protein 8	protein-coding gene
ACTR10	actin related protein 10	protein-coding gene
ACTRT1	actin related protein T1	protein-coding gene
ACTRT2	actin related protein T2	protein-coding gene
ACTRT3	actin related protein T3	protein-coding gene
ACVR1	activin A receptor type 1	protein-coding gene
ACVR1B	activin A receptor type 1B	protein-coding gene
ACVR1C	activin A receptor type 1C	protein-coding gene
ACVR2A	activin A receptor type 2A	protein-coding gene
ACVR2B	activin A receptor type 2B	protein-coding gene
ACVR2B-AS1	ACVR2B antisense RNA 1	non-coding RNA
ACVRL1	activin A receptor like type 1	protein-coding gene
ACY1	aminoacylase 1	protein-coding gene
ACY3	aminoacylase 3	protein-coding gene
ACYP1	acylphosphatase 1	protein-coding gene
ACYP2	acylphosphatase 2	protein-coding gene
AD5	Alzheimer disease 5	phenotype
ADA	adenosine deaminase	protein-coding gene
ADA2	adenosine deaminase 2	protein-coding gene
ADAD1	adenosine deaminase domain containing 1	protein-coding gene
ADAD1P1	adenosine deaminase domain containing 1 pseudogene 1	pseudogene
ADAD1P2	adenosine deaminase domain containing 1 pseudogene 2	pseudogene
ADAD2	adenosine deaminase domain containing 2	protein-coding gene
ADAL	adenosine deaminase like	protein-coding gene
ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)	pseudogene
ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)	pseudogene
ADAM2	ADAM metallopeptidase domain 2	protein-coding gene
ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	pseudogene
ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)	pseudogene
ADAM5	ADAM metallopeptidase domain 5 (pseudogene)	pseudogene
ADAM6	ADAM metallopeptidase domain 6 (pseudogene)	pseudogene
ADAM7	ADAM metallopeptidase domain 7	protein-coding gene
ADAM8	ADAM metallopeptidase domain 8	protein-coding gene
ADAM9	ADAM metallopeptidase domain 9	protein-coding gene
ADAM10	ADAM metallopeptidase domain 10	protein-coding gene
ADAM11	ADAM metallopeptidase domain 11	protein-coding gene
ADAM12	ADAM metallopeptidase domain 12	protein-coding gene
ADAM12-OT1	ADAM12 overlapping transcript 1 (non-protein coding)	non-coding RNA
ADAM15	ADAM metallopeptidase domain 15	protein-coding gene
ADAM17	ADAM metallopeptidase domain 17	protein-coding gene
ADAM18	ADAM metallopeptidase domain 18	protein-coding gene
ADAM19	ADAM metallopeptidase domain 19	protein-coding gene
ADAM20	ADAM metallopeptidase domain 20	protein-coding gene
ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	pseudogene
ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2	pseudogene
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3	pseudogene
ADAM21	ADAM metallopeptidase domain 21	protein-coding gene
ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1	pseudogene
ADAM22	ADAM metallopeptidase domain 22	protein-coding gene
ADAM23	ADAM metallopeptidase domain 23	protein-coding gene
ADAM24P	ADAM metallopeptidase domain 24, pseudogene	pseudogene
ADAM28	ADAM metallopeptidase domain 28	protein-coding gene
ADAM29	ADAM metallopeptidase domain 29	protein-coding gene
ADAM30	ADAM metallopeptidase domain 30	protein-coding gene
ADAM32	ADAM metallopeptidase domain 32	protein-coding gene
ADAM33	ADAM metallopeptidase domain 33	protein-coding gene
ADAMDEC1	ADAM like decysin 1	protein-coding gene
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	protein-coding gene
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	protein-coding gene
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	protein-coding gene
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	protein-coding gene
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	protein-coding gene
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	protein-coding gene
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	protein-coding gene
ADAMTS7P1	ADAMTS7 pseudogene 1	pseudogene
ADAMTS7P3	ADAMTS7 pseudogene 3	pseudogene
ADAMTS7P4	ADAMTS7 pseudogene 4	pseudogene
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	protein-coding gene
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	protein-coding gene
ADAMTS9-AS1	ADAMTS9 antisense RNA 1	non-coding RNA
ADAMTS9-AS2	ADAMTS9 antisense RNA 2	non-coding RNA
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	protein-coding gene
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	protein-coding gene
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	protein-coding gene
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	protein-coding gene
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	protein-coding gene
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	protein-coding gene
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	protein-coding gene
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	protein-coding gene
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19	protein-coding gene
ADAMTS19-AS1	ADAMTS19 antisense RNA 1	non-coding RNA
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	protein-coding gene
ADAMTSL1	ADAMTS like 1	protein-coding gene
ADAMTSL2	ADAMTS like 2	protein-coding gene
ADAMTSL3	ADAMTS like 3	protein-coding gene
ADAMTSL4	ADAMTS like 4	protein-coding gene
ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	non-coding RNA
ADAMTSL4-AS2	ADAMTSL4 antisense RNA 2	non-coding RNA
ADAMTSL5	ADAMTS like 5	protein-coding gene
ADAP1	ArfGAP with dual PH domains 1	protein-coding gene
ADAP2	ArfGAP with dual PH domains 2	protein-coding gene
ADAR	adenosine deaminase RNA specific	protein-coding gene
ADARB1	adenosine deaminase RNA specific B1	protein-coding gene
ADARB2	adenosine deaminase RNA specific B2 (inactive)	protein-coding gene
ADARB2-AS1	ADARB2 antisense RNA 1	non-coding RNA
ADAT1	adenosine deaminase tRNA specific 1	protein-coding gene
ADAT2	adenosine deaminase tRNA specific 2	protein-coding gene
ADAT3	adenosine deaminase tRNA specific 3	protein-coding gene
ADCK1	aarF domain containing kinase 1	protein-coding gene
ADCK2	aarF domain containing kinase 2	protein-coding gene
ADCK5	aarF domain containing kinase 5	protein-coding gene
ADCP1	adenosine deaminase complexing protein 1	other
ADCY1	adenylate cyclase 1	protein-coding gene
ADCY2	adenylate cyclase 2	protein-coding gene
ADCY3	adenylate cyclase 3	protein-coding gene
ADCY4	adenylate cyclase 4	protein-coding gene
ADCY5	adenylate cyclase 5	protein-coding gene
ADCY6	adenylate cyclase 6	protein-coding gene
